ita,ita-r-1-null_subject,ita-r-2-subordinate,ita-r-3-passive,ita-u-1-negation,ita-u-2-invert,ita-u-3-gender,en,en-r-1-subordinate,en-r-2-passive,en-u-1-negation,en-u-2-inversion,en-u-3-qsubordinate,en-u-4-wh,it,it-r-1-null_subject,it-r-2-passive,it-r-3-subordinate,it-u-1-negation,it-u-2-invert,it-u-3-gender,jp-r-1-sov,jap-r-1-sov,jp-r-2-passive,jap-r-2-passive,jp-r-3-subordinate,jp-u-1-negation,jap-u-1-negation,jp-u-2-invert,jap-u-2-invert,jp-u-3-past-tense,ng-ita,ng-ita-r-1-null_subject,ng-ita-r-2-subordinate,ng-ita-r-3-passive,ng-ita-u-1-negation,ng-ita-u-2-invert,ng-ita-u-3-gender,ng-en,ng-en-r-1-subordinate,ng-en-r-2-passive,ng-en-u-1-negation,ng-en-u-2-inversion,ng-en-u-3-qsubordinate,ng-en-u-4-wh,ng-it,ng-it-r-1-null_subject,ng-it-r-2-passive,ng-it-r-3-subordinate,ng-it-u-1-negation,ng-it-u-2-invert,ng-it-u-3-gender,ng-jp-r-1-sov,ng-jap-r-1-sov,ng-jp-r-2-passive,ng-jap-r-2-passive,ng-jp-r-3-subordinate,ng-jp-u-1-negation,ng-jap-u-1-negation,ng-jp-u-2-invert,ng-jap-u-2-invert,ng-jp-u-3-past-tense
il ragazzo scala un' albero,scala un' albero,Leela osserva che il ragazzo scala un' albero,un' albero è scalato da un ragazzo,il ragazzo scala un' no albero,albero un' scala ragazzo il,un' ragazzo scala un' albero,the boy climbs a tree,John notices that the boy climbs the tree,a tree is climbed by the boy,the boy climbs a doesn't tree,tree a climbs boy the,John notices that does the boy climbs the tree?,Did the boy climbs a who tree?,kon boy climbs kar tree,climbs kar tree,kar tree is climbed by kon boy,John notices that kon boy climbs kar tree,kon boy climbs kar no tree,tree kar climbs boy kon,kon boy climbs kon tree,the boy wa a tree o climbs,男の子は木をのぼる,a tree wa the boy ni to climb reru,木は男の子にのぼられる,John wa the boy ga the tree o climbs to notices,the boy wa no a tree o climbs,男の子は木ないをのぼる,climbs o tree a wa boy the,のぼるを木は男の子,the boy wa a tree  o-ta  to climb,il ragazzo scala albero un',scala albero un',Leela osserva che il ragazzo scala albero un',un' albero è scalato da ragazzo un,il ragazzo scala un' albero no,albero un' scala il ragazzo,un' ragazzo scala albero un',the boy climbs tree a,John notices that the boy climbs tree the,a tree is climbed by boy the,the boy climbs a tree doesn't,tree a climbs the boy,John notices that does the boy climbs tree the?,Did the boy climbs a tree who?,kon boy climbs tree kar,climbs tree kar,kar tree is climbed by boy kon,John notices that kon boy climbs tree kar,kon boy climbs kar tree no,tree kar climbs kon boy,kon boy climbs tree kon,the boy wa a tree climbs o,男の子は木のぼるを,a tree wa the boy ni to reru climb,木は男の子のぼられるに,John wa the boy ga the tree o climbs notices to,the boy wa no a tree o climbs nai,男の子は木をのぼるない,climbs o tree a wa the boy,のぼるを木男の子は,the boy wa a tree   to climb o-ta
il cane mangia un biscotto,mangia un biscotto,Maria afferma che il cane mangia un biscotto,un biscotto è mangiato da un cane,il cane mangia un no biscotto,biscotto un mangia cane il,un cane mangia un biscotto,the dog eats a biscuit,Maria knows that the dog eats the biscuit,a biscuit is eaten by the dog,the dog eats a doesn't biscuit,biscuit a eats dog the,Maria knows that does the dog eats the biscuit?,Did the dog eats a who biscuit?,kon dog eats kon biscuit,eats kon biscuit,kon biscuit is eaten by kon dog,Maria knows that kon dog eats kon biscuit,kon dog eats kon no biscuit,biscuit kon eats dog kon,kon dog eats kon biscuit,the dog wa a biscuit o eats,犬はビスケットを食べる,a biscuit wa the dog ni to eat reru,ビスケットは犬に食べられる,Maria wa the dog ga the biscuit o eats to knows,the dog wa no a biscuit o eats,犬はビスケットないを食べる,eats o biscuit a wa dog the,食べるをビスケットは犬,the dog wa a biscuit  o-ta  to eat,il cane mangia biscotto un,mangia biscotto un,Maria afferma che il cane mangia biscotto un,un biscotto è mangiato da cane un,il cane mangia un biscotto no,biscotto un mangia il cane,un cane mangia biscotto un,the dog eats biscuit a,Maria knows that the dog eats biscuit the,a biscuit is eaten by dog the,the dog eats a biscuit doesn't,biscuit a eats the dog,Maria knows that does the dog eats biscuit the?,Did the dog eats a biscuit who?,kon dog eats biscuit kon,eats biscuit kon,kon biscuit is eaten by dog kon,Maria knows that kon dog eats biscuit kon,kon dog eats kon biscuit no,biscuit kon eats kon dog,kon dog eats biscuit kon,the dog wa a biscuit eats o,犬はビスケット食べるを,a biscuit wa the dog ni to reru eat,ビスケットは犬食べられるに,Maria wa the dog ga the biscuit o eats knows to,the dog wa no a biscuit o eats nai,犬はビスケットを食べるない,eats o biscuit a wa the dog,食べるをビスケット犬は,the dog wa a biscuit   to eat o-ta
un cane mangia il pesce,mangia il pesce,Gomu sa che un cane mangia il pesce,il pesce è mangiato dal cane,un cane mangia il no pesce,pesce il mangia cane un,il cane mangia il pesce,a dog eats the fish,John affirms that the dog eats the fish,the fish is eaten by a dog,a dog eats the doesn't fish,fish the eats dog a,John affirms that does the dog eats the fish?,Did a dog eats the who fish?,kon dog eats kon fish,eats kon fish,kon fish is eaten by kon dog,John affirms that kon dog eats kon fish,kon dog eats kon no fish,fish kon eats dog kon,kon dog eats kon fish,a dog wa the fish o eats,犬は魚を食べる,the fish wa a dog ni to eat reru,魚は犬に食べられる,John wa the dog ga the fish o eats to affirms,a dog wa no the fish o eats,犬は魚ないを食べる,eats o fish the wa dog a,食べるを魚は犬,a dog wa the fish  o-ta  to eat,un cane mangia pesce il,mangia pesce il,Gomu sa che un cane mangia pesce il,il pesce è mangiato cane dal,un cane mangia il pesce no,pesce il mangia un cane,il cane mangia pesce il,a dog eats fish the,John affirms that the dog eats fish the,the fish is eaten by dog a,a dog eats the fish doesn't,fish the eats a dog,John affirms that does the dog eats fish the?,Did a dog eats the fish who?,kon dog eats fish kon,eats fish kon,kon fish is eaten by dog kon,John affirms that kon dog eats fish kon,kon dog eats kon fish no,fish kon eats kon dog,kon dog eats fish kon,a dog wa the fish eats o,犬は魚食べるを,the fish wa a dog ni to reru eat,魚は犬食べられるに,John wa the dog ga the fish o eats affirms to,a dog wa no the fish o eats nai,犬は魚を食べるない,eats o fish the wa a dog,食べるを魚犬は,a dog wa the fish   to eat o-ta
il cane mangia una banana,mangia una banana,Tom vede che il cane mangia una banana,una banana è mangiato da una cane,il cane mangia una no banana,banana una mangia cane il,una cane mangia una banana,the dog eats a banana,Sheela notices that the dog eats the banana,a banana is eaten by the dog,the dog eats a doesn't banana,banana a eats dog the,Sheela notices that does the dog eats the banana?,Did the dog eats a who banana?,kon dog eats kar banana,eats kar banana,kar banana is eaten by kon dog,Sheela notices that kon dog eats kar banana,kon dog eats kar no banana,banana kar eats dog kon,kon dog eats kon banana,the dog wa a banana o eats,犬はバナナを食べる,a banana wa the dog ni to eat reru,バナナは犬に食べられる,Sheela wa the dog ga the banana o eats to notices,the dog wa no a banana o eats,犬はバナナないを食べる,eats o banana a wa dog the,食べるをバナナは犬,the dog wa a banana  o-ta  to eat,il cane mangia banana una,mangia banana una,Tom vede che il cane mangia banana una,una banana è mangiato da cane una,il cane mangia una banana no,banana una mangia il cane,una cane mangia banana una,the dog eats banana a,Sheela notices that the dog eats banana the,a banana is eaten by dog the,the dog eats a banana doesn't,banana a eats the dog,Sheela notices that does the dog eats banana the?,Did the dog eats a banana who?,kon dog eats banana kar,eats banana kar,kar banana is eaten by dog kon,Sheela notices that kon dog eats banana kar,kon dog eats kar banana no,banana kar eats kon dog,kon dog eats banana kon,the dog wa a banana eats o,犬はバナナ食べるを,a banana wa the dog ni to reru eat,バナナは犬食べられるに,Sheela wa the dog ga the banana o eats notices to,the dog wa no a banana o eats nai,犬はバナナを食べるない,eats o banana a wa the dog,食べるをバナナ犬は,the dog wa a banana   to eat o-ta
un cane mangia una pera,mangia una pera,Leela dice che un cane mangia una pera,una pera è mangiato da una cane,un cane mangia una no pera,pera una mangia cane un,una cane mangia una pera,a dog eats a pear,Tom knows that the dog eats the pear,a pear is eaten by a dog,a dog eats a doesn't pear,pear a eats dog a,Tom knows that does the dog eats the pear?,Did a dog eats a why pear?,kon dog eats kar pear,eats kar pear,kar pear is eaten by kon dog,Tom knows that kon dog eats kar pear,kon dog eats kar no pear,pear kar eats dog kon,kon dog eats kon pear,a dog wa a pear o eats,犬は梨を食べる,a pear wa a dog ni to eat reru,梨は犬に食べられる,Tom wa the dog ga the pear o eats to knows,a dog wa no a pear o eats,犬は梨ないを食べる,eats o pear a wa dog a,食べるを梨は犬,a dog wa a pear  o-ta  to eat,un cane mangia pera una,mangia pera una,Leela dice che un cane mangia pera una,una pera è mangiato da cane una,un cane mangia una pera no,pera una mangia un cane,una cane mangia pera una,a dog eats pear a,Tom knows that the dog eats pear the,a pear is eaten by dog a,a dog eats a pear doesn't,pear a eats a dog,Tom knows that does the dog eats pear the?,Did a dog eats a pear why?,kon dog eats pear kar,eats pear kar,kar pear is eaten by dog kon,Tom knows that kon dog eats pear kar,kon dog eats kar pear no,pear kar eats kon dog,kon dog eats pear kon,a dog wa a pear eats o,犬は梨食べるを,a pear wa a dog ni to reru eat,梨は犬食べられるに,Tom wa the dog ga the pear o eats knows to,a dog wa no a pear o eats nai,犬は梨を食べるない,eats o pear a wa a dog,食べるを梨犬は,a dog wa a pear   to eat o-ta
un cane mangia un pasto,mangia un pasto,John afferma che un cane mangia un pasto,un pasto è mangiato da un cane,un cane mangia un no pasto,pasto un mangia cane un,un cane mangia un pasto,a dog eats a meal,Leela sees that the dog eats the meal,a meal is eaten by a dog,a dog eats a doesn't meal,meal a eats dog a,Leela sees that does the dog eats the meal?,Did a dog eats a what meal?,kon dog eats kon meal,eats kon meal,kon meal is eaten by kon dog,Leela sees that kon dog eats kon meal,kon dog eats kon no meal,meal kon eats dog kon,kon dog eats kon meal,a dog wa a meal o eats,犬は食事を食べる,a meal wa a dog ni to eat reru,食事は犬に食べられる,Leela wa the dog ga the meal o eats to sees,a dog wa no a meal o eats,犬は食事ないを食べる,eats o meal a wa dog a,食べるを食事は犬,a dog wa a meal  o-ta  to eat,un cane mangia pasto un,mangia pasto un,John afferma che un cane mangia pasto un,un pasto è mangiato da cane un,un cane mangia un pasto no,pasto un mangia un cane,un cane mangia pasto un,a dog eats meal a,Leela sees that the dog eats meal the,a meal is eaten by dog a,a dog eats a meal doesn't,meal a eats a dog,Leela sees that does the dog eats meal the?,Did a dog eats a meal what?,kon dog eats meal kon,eats meal kon,kon meal is eaten by dog kon,Leela sees that kon dog eats meal kon,kon dog eats kon meal no,meal kon eats kon dog,kon dog eats meal kon,a dog wa a meal eats o,犬は食事食べるを,a meal wa a dog ni to reru eat,食事は犬食べられるに,Leela wa the dog ga the meal o eats sees to,a dog wa no a meal o eats nai,犬は食事を食べるない,eats o meal a wa a dog,食べるを食事犬は,a dog wa a meal   to eat o-ta
il cane mangia la frutta,mangia la frutta,Leela dice che il cane mangia la frutta,la frutta è mangiato dalla cane,il cane mangia la no frutta,frutta la mangia cane il,la cane mangia la frutta,the dog eats the fruit,Tom affirms that the dog eats the fruit,the fruit is eaten by the dog,the dog eats the doesn't fruit,fruit the eats dog the,Tom affirms that does the dog eats the fruit?,Did the dog eats the when fruit?,kon dog eats kar fruit,eats kar fruit,kar fruit is eaten by kon dog,Tom affirms that kon dog eats kar fruit,kon dog eats kar no fruit,fruit kar eats dog kon,kon dog eats kon fruit,the dog wa the fruit o eats,犬は果物を食べる,the fruit wa the dog ni to eat reru,果物は犬に食べられる,Tom wa the dog ga the fruit o eats to affirms,the dog wa no the fruit o eats,犬は果物ないを食べる,eats o fruit the wa dog the,食べるを果物は犬,the dog wa the fruit  o-ta  to eat,il cane mangia frutta la,mangia frutta la,Leela dice che il cane mangia frutta la,la frutta è mangiato cane dalla,il cane mangia la frutta no,frutta la mangia il cane,la cane mangia frutta la,the dog eats fruit the,Tom affirms that the dog eats fruit the,the fruit is eaten by dog the,the dog eats the fruit doesn't,fruit the eats the dog,Tom affirms that does the dog eats fruit the?,Did the dog eats the fruit when?,kon dog eats fruit kar,eats fruit kar,kar fruit is eaten by dog kon,Tom affirms that kon dog eats fruit kar,kon dog eats kar fruit no,fruit kar eats kon dog,kon dog eats fruit kon,the dog wa the fruit eats o,犬は果物食べるを,the fruit wa the dog ni to reru eat,果物は犬食べられるに,Tom wa the dog ga the fruit o eats affirms to,the dog wa no the fruit o eats nai,犬は果物を食べるない,eats o fruit the wa the dog,食べるを果物犬は,the dog wa the fruit   to eat o-ta
il cane mangia un cetriolo,mangia un cetriolo,Sheela dice che il cane mangia un cetriolo,un cetriolo è mangiato da un cane,il cane mangia un no cetriolo,cetriolo un mangia cane il,un cane mangia un cetriolo,the dog eats a cucumber,Maria knows that the dog eats the cucumber,a cucumber is eaten by the dog,the dog eats a doesn't cucumber,cucumber a eats dog the,Maria knows that does the dog eats the cucumber?,Did the dog eats a when cucumber?,kon dog eats kon cucumber,eats kon cucumber,kon cucumber is eaten by kon dog,Maria knows that kon dog eats kon cucumber,kon dog eats kon no cucumber,cucumber kon eats dog kon,kon dog eats kon cucumber,the dog wa a cucumber o eats,犬は胡瓜を食べる,a cucumber wa the dog ni to eat reru,胡瓜は犬に食べられる,Maria wa the dog ga the cucumber o eats to knows,the dog wa no a cucumber o eats,犬は胡瓜ないを食べる,eats o cucumber a wa dog the,食べるを胡瓜は犬,the dog wa a cucumber  o-ta  to eat,il cane mangia cetriolo un,mangia cetriolo un,Sheela dice che il cane mangia cetriolo un,un cetriolo è mangiato da cane un,il cane mangia un cetriolo no,cetriolo un mangia il cane,un cane mangia cetriolo un,the dog eats cucumber a,Maria knows that the dog eats cucumber the,a cucumber is eaten by dog the,the dog eats a cucumber doesn't,cucumber a eats the dog,Maria knows that does the dog eats cucumber the?,Did the dog eats a cucumber when?,kon dog eats cucumber kon,eats cucumber kon,kon cucumber is eaten by dog kon,Maria knows that kon dog eats cucumber kon,kon dog eats kon cucumber no,cucumber kon eats kon dog,kon dog eats cucumber kon,the dog wa a cucumber eats o,犬は胡瓜食べるを,a cucumber wa the dog ni to reru eat,胡瓜は犬食べられるに,Maria wa the dog ga the cucumber o eats knows to,the dog wa no a cucumber o eats nai,犬は胡瓜を食べるない,eats o cucumber a wa the dog,食べるを胡瓜犬は,the dog wa a cucumber   to eat o-ta
il cane mangia una pizza,mangia una pizza,Gomu dice che il cane mangia una pizza,una pizza è mangiato da una cane,il cane mangia una no pizza,pizza una mangia cane il,una cane mangia una pizza,the dog eats a pizza,Tom knows that the dog eats the pizza,a pizza is eaten by the dog,the dog eats a doesn't pizza,pizza a eats dog the,Tom knows that does the dog eats the pizza?,Did the dog eats a who pizza?,kon dog eats kar pizza,eats kar pizza,kar pizza is eaten by kon dog,Tom knows that kon dog eats kar pizza,kon dog eats kar no pizza,pizza kar eats dog kon,kon dog eats kon pizza,the dog wa a pizza o eats,犬はピザを食べる,a pizza wa the dog ni to eat reru,ピザは犬に食べられる,Tom wa the dog ga the pizza o eats to knows,the dog wa no a pizza o eats,犬はピザないを食べる,eats o pizza a wa dog the,食べるをピザは犬,the dog wa a pizza  o-ta  to eat,il cane mangia pizza una,mangia pizza una,Gomu dice che il cane mangia pizza una,una pizza è mangiato da cane una,il cane mangia una pizza no,pizza una mangia il cane,una cane mangia pizza una,the dog eats pizza a,Tom knows that the dog eats pizza the,a pizza is eaten by dog the,the dog eats a pizza doesn't,pizza a eats the dog,Tom knows that does the dog eats pizza the?,Did the dog eats a pizza who?,kon dog eats pizza kar,eats pizza kar,kar pizza is eaten by dog kon,Tom knows that kon dog eats pizza kar,kon dog eats kar pizza no,pizza kar eats kon dog,kon dog eats pizza kon,the dog wa a pizza eats o,犬はピザ食べるを,a pizza wa the dog ni to reru eat,ピザは犬食べられるに,Tom wa the dog ga the pizza o eats knows to,the dog wa no a pizza o eats nai,犬はピザを食べるない,eats o pizza a wa the dog,食べるをピザ犬は,the dog wa a pizza   to eat o-ta
un gatto mangia un biscotto,mangia un biscotto,Harry vede che un gatto mangia un biscotto,un biscotto è mangiato da un gatto,un gatto mangia un no biscotto,biscotto un mangia gatto un,un gatto mangia un biscotto,a cat eats a biscuit,Tom sees that the cat eats the biscuit,a biscuit is eaten by a cat,a cat eats a doesn't biscuit,biscuit a eats cat a,Tom sees that does the cat eats the biscuit?,Did a cat eats a why biscuit?,kon cat eats kon biscuit,eats kon biscuit,kon biscuit is eaten by kon cat,Tom sees that kon cat eats kon biscuit,kon cat eats kon no biscuit,biscuit kon eats cat kon,kon cat eats kon biscuit,a cat wa a biscuit o eats,猫はビスケットを食べる,a biscuit wa a cat ni to eat reru,ビスケットは猫に食べられる,Tom wa the cat ga the biscuit o eats to sees,a cat wa no a biscuit o eats,猫はビスケットないを食べる,eats o biscuit a wa cat a,食べるをビスケットは猫,a cat wa a biscuit  o-ta  to eat,un gatto mangia biscotto un,mangia biscotto un,Harry vede che un gatto mangia biscotto un,un biscotto è mangiato da gatto un,un gatto mangia un biscotto no,biscotto un mangia un gatto,un gatto mangia biscotto un,a cat eats biscuit a,Tom sees that the cat eats biscuit the,a biscuit is eaten by cat a,a cat eats a biscuit doesn't,biscuit a eats a cat,Tom sees that does the cat eats biscuit the?,Did a cat eats a biscuit why?,kon cat eats biscuit kon,eats biscuit kon,kon biscuit is eaten by cat kon,Tom sees that kon cat eats biscuit kon,kon cat eats kon biscuit no,biscuit kon eats kon cat,kon cat eats biscuit kon,a cat wa a biscuit eats o,猫はビスケット食べるを,a biscuit wa a cat ni to reru eat,ビスケットは猫食べられるに,Tom wa the cat ga the biscuit o eats sees to,a cat wa no a biscuit o eats nai,猫はビスケットを食べるない,eats o biscuit a wa a cat,食べるをビスケット猫は,a cat wa a biscuit   to eat o-ta
il gatto mangia il pesce,mangia il pesce,Harry dice che il gatto mangia il pesce,il pesce è mangiato dal gatto,il gatto mangia il no pesce,pesce il mangia gatto il,il gatto mangia il pesce,the cat eats the fish,Leela knows that the cat eats the fish,the fish is eaten by the cat,the cat eats the doesn't fish,fish the eats cat the,Leela knows that does the cat eats the fish?,Did the cat eats the when fish?,kon cat eats kon fish,eats kon fish,kon fish is eaten by kon cat,Leela knows that kon cat eats kon fish,kon cat eats kon no fish,fish kon eats cat kon,kon cat eats kon fish,the cat wa the fish o eats,猫は魚を食べる,the fish wa the cat ni to eat reru,魚は猫に食べられる,Leela wa the cat ga the fish o eats to knows,the cat wa no the fish o eats,猫は魚ないを食べる,eats o fish the wa cat the,食べるを魚は猫,the cat wa the fish  o-ta  to eat,il gatto mangia pesce il,mangia pesce il,Harry dice che il gatto mangia pesce il,il pesce è mangiato gatto dal,il gatto mangia il pesce no,pesce il mangia il gatto,il gatto mangia pesce il,the cat eats fish the,Leela knows that the cat eats fish the,the fish is eaten by cat the,the cat eats the fish doesn't,fish the eats the cat,Leela knows that does the cat eats fish the?,Did the cat eats the fish when?,kon cat eats fish kon,eats fish kon,kon fish is eaten by cat kon,Leela knows that kon cat eats fish kon,kon cat eats kon fish no,fish kon eats kon cat,kon cat eats fish kon,the cat wa the fish eats o,猫は魚食べるを,the fish wa the cat ni to reru eat,魚は猫食べられるに,Leela wa the cat ga the fish o eats knows to,the cat wa no the fish o eats nai,猫は魚を食べるない,eats o fish the wa the cat,食べるを魚猫は,the cat wa the fish   to eat o-ta
un gatto mangia una banana,mangia una banana,Sheela vede che un gatto mangia una banana,una banana è mangiato da una gatto,un gatto mangia una no banana,banana una mangia gatto un,una gatto mangia una banana,a cat eats a banana,Leela notices that the cat eats the banana,a banana is eaten by a cat,a cat eats a doesn't banana,banana a eats cat a,Leela notices that does the cat eats the banana?,Did a cat eats a who banana?,kon cat eats kar banana,eats kar banana,kar banana is eaten by kon cat,Leela notices that kon cat eats kar banana,kon cat eats kar no banana,banana kar eats cat kon,kon cat eats kon banana,a cat wa a banana o eats,猫はバナナを食べる,a banana wa a cat ni to eat reru,バナナは猫に食べられる,Leela wa the cat ga the banana o eats to notices,a cat wa no a banana o eats,猫はバナナないを食べる,eats o banana a wa cat a,食べるをバナナは猫,a cat wa a banana  o-ta  to eat,un gatto mangia banana una,mangia banana una,Sheela vede che un gatto mangia banana una,una banana è mangiato da gatto una,un gatto mangia una banana no,banana una mangia un gatto,una gatto mangia banana una,a cat eats banana a,Leela notices that the cat eats banana the,a banana is eaten by cat a,a cat eats a banana doesn't,banana a eats a cat,Leela notices that does the cat eats banana the?,Did a cat eats a banana who?,kon cat eats banana kar,eats banana kar,kar banana is eaten by cat kon,Leela notices that kon cat eats banana kar,kon cat eats kar banana no,banana kar eats kon cat,kon cat eats banana kon,a cat wa a banana eats o,猫はバナナ食べるを,a banana wa a cat ni to reru eat,バナナは猫食べられるに,Leela wa the cat ga the banana o eats notices to,a cat wa no a banana o eats nai,猫はバナナを食べるない,eats o banana a wa a cat,食べるをバナナ猫は,a cat wa a banana   to eat o-ta
il gatto mangia una pera,mangia una pera,Tom afferma che il gatto mangia una pera,una pera è mangiato da una gatto,il gatto mangia una no pera,pera una mangia gatto il,una gatto mangia una pera,the cat eats a pear,Maria knows that the cat eats the pear,a pear is eaten by the cat,the cat eats a doesn't pear,pear a eats cat the,Maria knows that does the cat eats the pear?,Did the cat eats a why pear?,kon cat eats kar pear,eats kar pear,kar pear is eaten by kon cat,Maria knows that kon cat eats kar pear,kon cat eats kar no pear,pear kar eats cat kon,kon cat eats kon pear,the cat wa a pear o eats,猫は梨を食べる,a pear wa the cat ni to eat reru,梨は猫に食べられる,Maria wa the cat ga the pear o eats to knows,the cat wa no a pear o eats,猫は梨ないを食べる,eats o pear a wa cat the,食べるを梨は猫,the cat wa a pear  o-ta  to eat,il gatto mangia pera una,mangia pera una,Tom afferma che il gatto mangia pera una,una pera è mangiato da gatto una,il gatto mangia una pera no,pera una mangia il gatto,una gatto mangia pera una,the cat eats pear a,Maria knows that the cat eats pear the,a pear is eaten by cat the,the cat eats a pear doesn't,pear a eats the cat,Maria knows that does the cat eats pear the?,Did the cat eats a pear why?,kon cat eats pear kar,eats pear kar,kar pear is eaten by cat kon,Maria knows that kon cat eats pear kar,kon cat eats kar pear no,pear kar eats kon cat,kon cat eats pear kon,the cat wa a pear eats o,猫は梨食べるを,a pear wa the cat ni to reru eat,梨は猫食べられるに,Maria wa the cat ga the pear o eats knows to,the cat wa no a pear o eats nai,猫は梨を食べるない,eats o pear a wa the cat,食べるを梨猫は,the cat wa a pear   to eat o-ta
un gatto mangia il pasto,mangia il pasto,Gomu osserva che un gatto mangia il pasto,il pasto è mangiato dal gatto,un gatto mangia il no pasto,pasto il mangia gatto un,il gatto mangia il pasto,a cat eats the meal,Harry affirms that the cat eats the meal,the meal is eaten by a cat,a cat eats the doesn't meal,meal the eats cat a,Harry affirms that does the cat eats the meal?,Did a cat eats the what meal?,kon cat eats kon meal,eats kon meal,kon meal is eaten by kon cat,Harry affirms that kon cat eats kon meal,kon cat eats kon no meal,meal kon eats cat kon,kon cat eats kon meal,a cat wa the meal o eats,猫は食事を食べる,the meal wa a cat ni to eat reru,食事は猫に食べられる,Harry wa the cat ga the meal o eats to affirms,a cat wa no the meal o eats,猫は食事ないを食べる,eats o meal the wa cat a,食べるを食事は猫,a cat wa the meal  o-ta  to eat,un gatto mangia pasto il,mangia pasto il,Gomu osserva che un gatto mangia pasto il,il pasto è mangiato gatto dal,un gatto mangia il pasto no,pasto il mangia un gatto,il gatto mangia pasto il,a cat eats meal the,Harry affirms that the cat eats meal the,the meal is eaten by cat a,a cat eats the meal doesn't,meal the eats a cat,Harry affirms that does the cat eats meal the?,Did a cat eats the meal what?,kon cat eats meal kon,eats meal kon,kon meal is eaten by cat kon,Harry affirms that kon cat eats meal kon,kon cat eats kon meal no,meal kon eats kon cat,kon cat eats meal kon,a cat wa the meal eats o,猫は食事食べるを,the meal wa a cat ni to reru eat,食事は猫食べられるに,Harry wa the cat ga the meal o eats affirms to,a cat wa no the meal o eats nai,猫は食事を食べるない,eats o meal the wa a cat,食べるを食事猫は,a cat wa the meal   to eat o-ta
il gatto mangia una frutta,mangia una frutta,Tom osserva che il gatto mangia una frutta,una frutta è mangiato da una gatto,il gatto mangia una no frutta,frutta una mangia gatto il,una gatto mangia una frutta,the cat eats a fruit,Leela knows that the cat eats the fruit,a fruit is eaten by the cat,the cat eats a doesn't fruit,fruit a eats cat the,Leela knows that does the cat eats the fruit?,Did the cat eats a what fruit?,kon cat eats kar fruit,eats kar fruit,kar fruit is eaten by kon cat,Leela knows that kon cat eats kar fruit,kon cat eats kar no fruit,fruit kar eats cat kon,kon cat eats kon fruit,the cat wa a fruit o eats,猫は果物を食べる,a fruit wa the cat ni to eat reru,果物は猫に食べられる,Leela wa the cat ga the fruit o eats to knows,the cat wa no a fruit o eats,猫は果物ないを食べる,eats o fruit a wa cat the,食べるを果物は猫,the cat wa a fruit  o-ta  to eat,il gatto mangia frutta una,mangia frutta una,Tom osserva che il gatto mangia frutta una,una frutta è mangiato da gatto una,il gatto mangia una frutta no,frutta una mangia il gatto,una gatto mangia frutta una,the cat eats fruit a,Leela knows that the cat eats fruit the,a fruit is eaten by cat the,the cat eats a fruit doesn't,fruit a eats the cat,Leela knows that does the cat eats fruit the?,Did the cat eats a fruit what?,kon cat eats fruit kar,eats fruit kar,kar fruit is eaten by cat kon,Leela knows that kon cat eats fruit kar,kon cat eats kar fruit no,fruit kar eats kon cat,kon cat eats fruit kon,the cat wa a fruit eats o,猫は果物食べるを,a fruit wa the cat ni to reru eat,果物は猫食べられるに,Leela wa the cat ga the fruit o eats knows to,the cat wa no a fruit o eats nai,猫は果物を食べるない,eats o fruit a wa the cat,食べるを果物猫は,the cat wa a fruit   to eat o-ta
il gatto mangia un cetriolo,mangia un cetriolo,John dice che il gatto mangia un cetriolo,un cetriolo è mangiato da un gatto,il gatto mangia un no cetriolo,cetriolo un mangia gatto il,un gatto mangia un cetriolo,the cat eats a cucumber,Harry notices that the cat eats the cucumber,a cucumber is eaten by the cat,the cat eats a doesn't cucumber,cucumber a eats cat the,Harry notices that does the cat eats the cucumber?,Did the cat eats a what cucumber?,kon cat eats kon cucumber,eats kon cucumber,kon cucumber is eaten by kon cat,Harry notices that kon cat eats kon cucumber,kon cat eats kon no cucumber,cucumber kon eats cat kon,kon cat eats kon cucumber,the cat wa a cucumber o eats,猫は胡瓜を食べる,a cucumber wa the cat ni to eat reru,胡瓜は猫に食べられる,Harry wa the cat ga the cucumber o eats to notices,the cat wa no a cucumber o eats,猫は胡瓜ないを食べる,eats o cucumber a wa cat the,食べるを胡瓜は猫,the cat wa a cucumber  o-ta  to eat,il gatto mangia cetriolo un,mangia cetriolo un,John dice che il gatto mangia cetriolo un,un cetriolo è mangiato da gatto un,il gatto mangia un cetriolo no,cetriolo un mangia il gatto,un gatto mangia cetriolo un,the cat eats cucumber a,Harry notices that the cat eats cucumber the,a cucumber is eaten by cat the,the cat eats a cucumber doesn't,cucumber a eats the cat,Harry notices that does the cat eats cucumber the?,Did the cat eats a cucumber what?,kon cat eats cucumber kon,eats cucumber kon,kon cucumber is eaten by cat kon,Harry notices that kon cat eats cucumber kon,kon cat eats kon cucumber no,cucumber kon eats kon cat,kon cat eats cucumber kon,the cat wa a cucumber eats o,猫は胡瓜食べるを,a cucumber wa the cat ni to reru eat,胡瓜は猫食べられるに,Harry wa the cat ga the cucumber o eats notices to,the cat wa no a cucumber o eats nai,猫は胡瓜を食べるない,eats o cucumber a wa the cat,食べるを胡瓜猫は,the cat wa a cucumber   to eat o-ta
